年,月,日,時,水戸,つくば,笠間,宇都宮,栃木林業,日光,前橋,子持,さいたま,飯能,寄居,船橋,市原,山武,君津,小平,高尾,横浜,川崎,厚木
2014,2,1,1,28,16,4,8,8,8,12,4,12,16,0,45,8,24,8,12,12,0,16,16
2014,2,1,2,16,12,0,8,0,4,4,4,0,8,4,4,36,8,20,4,0,4,20,12
2014,2,1,3,36,0,0,12,28,0,0,0,8,4,0,8,16,4,4,8,4,4,4,12
2014,2,1,4,16,8,8,0,0,0,4,0,12,0,0,4,12,0,0,8,4,0,0,12
2014,2,1,5,16,4,12,16,0,0,4,0,12,20,0,24,12,0,0,0,8,0,12,4
2014,2,1,6,4,8,4,16,4,0,4,4,12,12,4,8,24,8,0,0,0,4,4,4
2014,2,1,7,28,4,16,0,28,4,24,0,4,4,4,12,32,0,4,8,0,4,8,8
2014,2,1,8,12,4,45,8,12,4,49,8,8,20,8,12,45,16,0,16,0,4,20,0
2014,2,1,9,16,20,32,32,24,16,32,0,8,32,4,12,49,24,8,16,4,0,45,28
2014,2,1,10,32,12,24,20,4,12,32,8,8,24,12,28,16,41,32,20,0,16,41,24
2014,2,1,11,57,32,57,16,32,4,73,4,20,32,20,20,61,41,20,12,20,12,41,53
2014,2,1,12,45,57,8,28,12,20,45,20,36,41,20,16,32,16,16,8,4,12,45,32
2014,2,1,13,28,49,61,45,24,0,45,20,45,24,24,36,24,28,16,24,32,20,36,41
2014,2,1,14,41,28,45,4,28,8,65,8,28,28,20,32,28,20,16,8,0,20,36,28
2014,2,1,15,57,20,24,28,28,8,49,12,24,20,16,12,28,4,20,28,20,4,77,32
2014,2,1,16,24,4,32,20,32,16,28,24,41,8,28,4,16,0,20,20,16,8,24,32
2014,2,1,17,4,8,45,8,8,8,102,61,57,24,16,0,41,12,16,24,8,12,36,98
2014,2,1,18,36,4,36,16,12,32,98,,28,36,41,0,16,0,41,49,0,32,12,16
2014,2,1,19,16,0,16,12,12,12,155,20,28,12,16,4,16,0,28,8,4,8,8,8
2014,2,1,20,4,0,0,20,20,4,73,4,0,12,4,0,4,0,4,49,0,8,4,4
2014,2,1,21,12,4,8,4,12,4,32,16,8,4,0,0,4,0,4,12,0,0,0,4
2014,2,1,22,16,4,4,12,4,0,98,0,4,0,4,0,12,4,0,24,0,4,4,8
2014,2,1,23,8,4,8,20,20,0,41,12,16,0,8,0,0,0,8,20,0,0,0,0
2014,2,1,24,0,12,0,8,8,0,36,4,12,4,8,0,0,4,0,12,0,8,8,0
2014,2,2,1,4,8,0,8,4,8,45,8,12,0,12,0,0,4,4,20,4,0,0,0
2014,2,2,2,16,4,0,12,8,0,57,4,20,0,16,0,0,0,0,20,0,4,16,8
2014,2,2,3,0,8,0,4,4,8,12,4,12,0,4,0,16,0,0,16,4,8,8,0
2014,2,2,4,16,12,4,8,4,0,16,4,20,4,4,8,4,0,0,12,0,0,16,0
2014,2,2,5,16,0,0,20,12,8,16,0,4,0,4,4,8,0,0,8,0,0,8,4
2014,2,2,6,4,8,0,12,0,4,8,8,8,0,4,4,0,4,4,16,0,4,4,0
2014,2,2,7,20,8,0,8,0,0,0,0,20,0,0,0,4,0,0,32,4,4,0,0
2014,2,2,8,28,20,12,12,8,0,24,4,28,0,4,0,4,4,8,16,0,8,12,16
2014,2,2,9,41,20,20,28,8,0,24,20,32,4,0,4,8,0,0,20,0,0,24,8
2014,2,2,10,36,32,12,41,16,0,57,4,45,12,4,12,8,0,4,4,8,4,28,4
2014,2,2,11,45,41,28,24,8,0,24,8,41,45,8,16,8,4,4,16,12,12,32,12
2014,2,2,12,20,8,16,24,16,0,24,16,41,20,12,12,24,41,12,24,16,8,16,32
2014,2,2,13,20,16,4,28,0,0,73,4,41,32,8,12,4,4,4,8,4,12,12,45
2014,2,2,14,36,24,20,32,24,0,32,4,32,12,12,4,8,0,4,16,0,4,4,32
2014,2,2,15,20,16,8,20,16,0,94,8,24,4,20,4,8,8,0,32,0,8,12,24
2014,2,2,16,41,8,16,12,20,4,57,16,28,4,4,0,4,0,0,24,16,4,0,28
2014,2,2,17,36,32,12,24,16,4,65,20,32,20,20,0,0,0,0,16,16,0,12,0
2014,2,2,18,24,16,12,32,12,4,86,20,41,16,24,4,8,12,4,28,4,0,12,8
2014,2,2,19,28,20,8,16,8,0,106,4,61,12,20,0,4,8,4,53,4,0,4,0
2014,2,2,20,24,16,16,49,0,0,86,4,28,0,24,12,0,8,4,24,0,0,0,4
2014,2,2,21,28,0,0,20,8,0,45,0,28,0,0,0,4,4,4,20,0,8,4,0
2014,2,2,22,4,12,0,28,12,0,41,0,4,4,12,0,0,0,0,4,0,0,0,0
2014,2,2,23,0,4,4,12,0,0,20,0,4,0,0,0,0,0,0,24,0,0,0,0
2014,2,2,24,8,4,4,4,12,4,4,0,16,0,4,0,0,4,0,16,0,0,0,4
2014,2,3,1,0,8,4,0,0,0,57,0,8,0,4,4,4,0,0,8,0,0,8,0
2014,2,3,2,8,0,4,4,0,0,16,0,8,0,8,0,8,0,0,8,0,4,0,0
2014,2,3,3,0,4,0,4,4,0,12,0,16,0,4,0,0,0,0,8,0,0,0,0
2014,2,3,4,0,8,0,0,0,0,4,0,8,8,0,0,0,0,0,0,0,0,4,8
2014,2,3,5,0,0,8,0,4,0,12,0,8,0,4,0,0,0,0,4,0,0,24,4
2014,2,3,6,0,4,0,8,0,0,24,0,12,0,4,0,0,0,0,0,0,0,8,0
2014,2,3,7,12,12,0,0,0,0,20,0,12,0,0,8,0,0,8,0,0,0,4,20
2014,2,3,8,20,24,4,8,32,0,24,16,16,8,0,0,4,0,0,8,0,4,4,0
2014,2,3,9,16,20,4,12,8,0,53,,20,41,4,16,4,4,0,24,20,8,16,139
2014,2,3,10,45,20,12,36,8,4,65,0,20,28,16,20,8,8,8,12,12,8,53,12
2014,2,3,11,28,16,32,41,12,20,49,12,8,12,24,16,4,28,0,36,8,16,36,16
2014,2,3,12,36,12,20,16,12,12,36,12,53,8,28,16,0,20,16,28,12,20,82,41
2014,2,3,13,36,20,32,16,12,0,28,12,20,4,20,8,0,24,4,20,8,16,32,114
2014,2,3,14,49,16,32,24,24,8,57,4,20,12,12,4,0,4,12,12,20,41,53,20
2014,2,3,15,77,36,36,36,4,0,65,8,28,24,16,4,12,4,0,36,28,8,41,94
2014,2,3,16,57,28,90,41,12,0,49,12,36,32,32,4,4,24,8,12,24,16,32,32
2014,2,3,17,77,16,110,28,45,4,69,8,32,16,32,0,12,20,12,24,12,4,41,98
2014,2,3,18,73,36,65,20,,0,139,0,57,24,28,0,12,16,8,12,8,16,12,20
2014,2,3,19,53,16,41,32,8,0,73,0,94,12,12,8,4,0,4,8,0,4,12,24
2014,2,3,20,65,0,61,45,8,4,82,0,41,0,24,16,4,8,4,20,0,8,12,0
2014,2,3,21,20,4,24,4,16,4,45,8,24,0,0,0,8,4,0,16,8,4,8,16
2014,2,3,22,49,28,20,20,0,0,61,8,49,4,8,12,0,8,4,20,16,8,8,8
2014,2,3,23,16,8,24,16,4,0,143,0,45,0,0,0,0,20,0,12,4,4,12,8
2014,2,3,24,41,12,28,8,4,0,131,,4,0,12,0,0,8,0,20,45,0,12,20
2014,2,4,1,32,16,4,24,24,0,131,4,12,24,4,4,4,0,4,12,24,24,45,102
2014,2,4,2,20,0,12,4,12,0,151,0,32,24,12,8,8,0,4,8,20,8,4,53
2014,2,4,3,12,0,20,28,24,0,155,0,0,4,0,4,0,0,24,4,20,0,8,12
2014,2,4,4,12,4,16,20,32,0,36,4,12,12,8,0,4,0,0,4,0,0,16,8
2014,2,4,5,0,0,8,4,20,4,4,0,4,41,4,8,0,0,0,0,4,0,0,4
2014,2,4,6,12,0,36,16,12,0,24,0,4,16,0,0,0,4,0,0,0,4,4,4
2014,2,4,7,16,4,53,8,57,0,24,0,4,24,0,0,4,0,0,0,4,4,0,12
2014,2,4,8,20,8,32,4,12,4,24,53,4,0,4,4,12,8,0,0,0,0,4,0
2014,2,4,9,20,4,20,32,86,110,20,-9998,4,0,8,0,12,0,0,0,0,4,4,0
2014,2,4,10,8,-9998,-9998,118,-9998,-9998,-9998,-9998,0,-9998,20,0,24,4,4,0,0,8,0,4
2014,2,4,11,12,0,65,-9998,-9998,-9998,-9998,-9998,8,-9998,-9998,0,20,4,0,0,0,8,0,8
2014,2,4,12,-9998,-9998,-9998,-9998,-9998,-9998,65,-9998,-9998,-9998,-9998,0,4,0,4,-9998,-9998,0,0,12
2014,2,4,13,-9998,-9998,-9998,-9998,-9998,127,-9998,-9998,-9998,-9998,-9998,-9998,0,4,8,-9998,-9998,4,-9998,0
2014,2,4,14,-9998,-9998,-9998,-9998,-9998,-9998,94,-9998,-9998,-9998,-9998,-9998,4,-9998,0,-9998,-9998,0,0,-9998
2014,2,4,15,-9998,-9998,-9998,-9998,-9998,61,73,36,61,-9998,-9998,4,-9998,-9998,-9998,-9998,-9998,0,0,-9998
2014,2,4,16,-9998,-9998,-9998,-9998,0,41,24,12,-9998,-9998,-9998,-9998,12,-9998,4,-9998,-9998,-9998,-9998,-9998
2014,2,4,17,-9998,-9998,-9998,0,16,36,8,53,-9998,-9998,-9998,-9998,-9998,159,-9998,-9998,-9998,-9998,-9998,-9998
2014,2,4,18,36,28,-9998,0,77,28,20,4,16,0,4,-9998,-9998,-9998,-9998,0,45,-9998,-9998,-9998
2014,2,4,19,0,4,4,8,28,24,12,16,0,36,0,-9998,-9998,-9998,-9998,0,12,0,4,49
2014,2,4,20,0,0,16,0,0,8,4,12,4,16,4,4,0,32,172,4,0,8,0,16
2014,2,4,21,4,0,0,0,0,8,12,0,4,16,8,0,0,0,20,0,0,0,12,0
2014,2,4,22,0,0,8,8,24,32,16,4,4,65,8,4,0,4,0,0,0,4,12,4
2014,2,4,23,4,20,4,86,151,4,4,4,0,122,12,0,4,0,0,0,0,0,16,4
2014,2,4,24,20,16,4,4,4,0,12,28,12,20,4,4,0,16,4,4,0,0,16,4
2014,2,5,1,20,16,8,12,4,8,8,114,0,12,0,0,4,86,4,8,0,4,20,4
2014,2,5,2,12,8,4,4,0,41,8,65,20,0,4,0,4,16,4,16,0,0,8,0
2014,2,5,3,4,4,0,0,0,94,4,53,12,0,4,4,0,8,12,4,0,4,8,0
2014,2,5,4,8,8,0,4,0,114,16,86,0,0,0,4,0,8,4,4,0,4,4,0
2014,2,5,5,8,8,0,12,4,159,0,49,0,0,0,0,0,0,16,0,0,0,12,4
2014,2,5,6,8,8,8,0,4,164,12,311,8,8,4,4,12,0,0,16,0,0,4,0
2014,2,5,7,24,12,0,28,4,106,41,356,8,8,0,0,8,0,16,4,0,4,20,12
2014,2,5,8,24,16,8,8,16,270,4,291,8,57,0,8,41,131,32,4,8,0,32,28
2014,2,5,9,32,49,16,28,16,155,16,53,20,4,0,0,8,176,24,4,8,0,69,8
2014,2,5,10,28,41,82,28,12,98,12,4,4,12,0,4,4,155,24,8,16,8,32,0
2014,2,5,11,16,16,94,0,0,45,61,8,4,0,0,12,12,77,4,0,12,12,32,20
2014,2,5,12,45,20,131,16,24,41,41,4,12,12,12,4,8,94,4,8,12,0,41,20
2014,2,5,13,41,16,12,20,8,82,28,4,12,16,8,0,12,82,4,4,4,8,16,61
2014,2,5,14,20,8,20,20,28,73,45,32,16,12,12,0,8,65,16,16,16,4,41,8
2014,2,5,15,20,24,24,16,8,69,36,4,24,20,8,0,12,28,4,0,12,4,20,16
2014,2,5,16,20,16,28,8,12,4,106,12,41,16,0,0,16,61,16,16,20,8,36,12
2014,2,5,17,12,4,82,16,12,8,90,4,4,8,4,8,24,45,20,16,20,0,45,28
2014,2,5,18,12,12,90,4,16,20,86,12,16,24,20,8,41,32,24,4,20,8,24,12
2014,2,5,19,32,28,82,4,4,4,32,0,24,16,16,12,8,36,36,16,12,8,28,32
2014,2,5,20,65,20,82,12,16,8,65,0,16,32,0,0,12,12,28,20,24,4,20,49
2014,2,5,21,32,28,32,24,8,12,53,8,12,0,4,16,4,12,24,4,0,0,32,12
