年,月,日,時,笠間市役所,宇都宮市中央生涯学習センター,栃木県林業センター,日光特別地域気象観測所,群馬県衛生環境研究所,群馬県林木育種場,さいたま市役所,飯能市役所,寄居町役場,東邦大学,千葉県環境研究センター,千葉県森林研究センター,君津市糠田測定局,東京都多摩小平保健所,独立行政法人森林総研多摩森林科学園,神奈川県庁分庁舎,川崎生命科学・環境研究センター,神奈川県自然環境保全センター
2015,2,1,1,20,24,16,73,4,0,,4,0,0,0,4,0,4,4,16,4,0
2015,2,1,2,28,4,4,20,0,0,,4,0,0,0,16,0,0,0,8,0,36
2015,2,1,3,8,16,8,86,0,0,,0,0,8,0,12,0,0,4,36,8,4
2015,2,1,4,16,0,4,57,0,12,,4,0,0,4,28,0,4,0,12,0,0
2015,2,1,5,16,4,0,24,0,8,,8,0,8,0,12,0,0,0,0,12,0
2015,2,1,6,20,4,0,0,0,4,,0,0,0,0,4,0,0,0,8,4,4
2015,2,1,7,4,12,8,0,12,4,,0,0,4,8,8,0,0,0,0,4,0
2015,2,1,8,8,8,8,4,8,8,,0,0,0,4,8,0,4,4,12,8,12
2015,2,1,9,8,8,8,16,4,4,,0,0,4,8,16,0,8,0,8,8,12
2015,2,1,10,4,16,4,4,12,4,,0,4,0,0,8,0,0,4,20,8,0
2015,2,1,11,12,0,0,4,4,4,,0,4,0,4,16,0,4,4,32,24,8
2015,2,1,12,0,0,8,4,8,0,,0,4,0,8,12,0,12,4,8,4,4
2015,2,1,13,4,4,0,45,4,8,,4,0,0,4,20,0,0,4,20,8,8
2015,2,1,14,4,0,0,32,4,0,,0,4,0,4,16,0,4,12,36,16,12
2015,2,1,15,4,0,0,36,20,4,,4,4,0,4,8,0,0,4,12,16,8
2015,2,1,16,0,0,8,110,4,0,,4,8,0,4,8,4,8,4,4,12,4
2015,2,1,17,4,0,0,77,4,0,,4,4,0,4,16,4,4,4,41,16,16
2015,2,1,18,8,4,4,57,16,0,,16,4,0,4,12,0,8,4,45,8,0
2015,2,1,19,8,0,4,82,8,0,,0,0,0,8,12,0,0,8,36,24,36
2015,2,1,20,8,4,0,41,4,4,,0,0,4,0,12,12,0,4,20,4,0
2015,2,1,21,8,8,4,53,12,0,,0,4,0,0,4,0,0,0,0,4,4
2015,2,1,22,0,4,0,69,0,0,,0,4,0,0,4,4,0,0,12,0,0
2015,2,1,23,4,8,0,24,0,0,,0,0,4,0,0,0,0,0,0,8,0
2015,2,1,24,0,4,0,4,0,4,,0,0,4,4,0,0,0,4,12,4,0
2015,2,2,1,4,8,4,20,8,4,,0,0,0,4,4,0,0,0,0,4,4
2015,2,2,2,0,0,4,16,0,4,,0,0,0,0,0,0,4,0,4,0,4
2015,2,2,3,0,4,0,28,4,0,,0,0,0,0,4,0,0,0,4,0,0
2015,2,2,4,0,0,0,61,0,8,,0,4,0,0,4,0,0,4,0,12,0
2015,2,2,5,0,0,0,86,4,4,,4,0,4,4,8,0,0,0,0,0,0
2015,2,2,6,4,8,0,61,4,4,,0,0,4,0,0,4,0,0,4,4,0
2015,2,2,7,0,0,4,8,4,0,,0,0,0,0,0,0,4,4,0,0,0
2015,2,2,8,8,4,4,32,0,8,,0,4,0,0,12,0,4,0,12,4,28
2015,2,2,9,8,12,12,41,4,0,,0,8,0,8,32,0,4,24,16,16,4
2015,2,2,10,4,16,8,0,8,4,0,4,0,0,0,0,4,4,4,20,8,0
2015,2,2,11,0,0,4,8,12,8,20,16,4,4,0,20,0,0,4,24,12,8
2015,2,2,12,0,4,4,4,12,0,16,0,8,0,8,24,0,4,0,28,20,0
2015,2,2,13,0,4,0,0,4,0,0,8,8,0,12,16,4,8,0,28,12,4
2015,2,2,14,4,4,0,0,20,4,12,20,0,0,4,4,0,4,12,45,20,0
2015,2,2,15,12,8,0,0,12,0,8,16,4,0,0,20,0,0,8,12,4,4
2015,2,2,16,4,20,0,4,12,0,16,24,4,4,28,8,4,8,16,28,20,0
2015,2,2,17,0,12,0,4,12,0,12,12,4,0,8,16,4,20,8,41,41,8
2015,2,2,18,28,12,0,0,12,0,8,4,4,4,4,0,16,0,8,61,36,41
2015,2,2,19,24,12,12,0,8,0,4,0,0,0,0,32,8,4,4,24,16,8
2015,2,2,20,28,16,0,0,4,0,0,0,0,16,12,12,20,0,4,0,8,20
2015,2,2,21,8,8,0,0,0,8,20,0,4,0,4,8,0,0,4,4,0,0
2015,2,2,22,0,4,0,0,0,24,8,4,4,4,4,16,8,0,0,4,4,4
2015,2,2,23,4,12,0,0,0,12,0,0,0,0,12,4,0,0,4,4,4,4
2015,2,2,24,4,4,4,4,0,0,4,0,0,0,24,4,0,0,0,4,4,4
2015,2,3,1,0,4,4,4,0,0,4,0,0,0,4,8,4,0,0,8,12,0
2015,2,3,2,4,0,0,4,0,0,8,0,0,4,8,0,0,4,0,0,4,8
2015,2,3,3,0,8,8,0,4,0,12,0,0,0,0,0,4,12,0,4,8,4
2015,2,3,4,8,24,12,0,4,4,0,0,0,8,0,4,0,0,4,0,0,0
2015,2,3,5,0,0,0,0,4,0,4,0,0,0,0,4,4,8,0,20,4,0
2015,2,3,6,0,4,4,0,0,4,4,0,8,8,0,4,12,0,0,28,0,0
2015,2,3,7,0,4,4,0,0,4,4,4,4,4,8,4,4,4,0,28,8,0
2015,2,3,8,8,4,4,0,4,4,8,4,0,20,20,8,4,12,4,8,4,12
2015,2,3,9,16,4,0,4,8,0,8,0,12,0,4,20,12,0,8,4,16,12
2015,2,3,10,8,24,0,4,4,0,12,4,12,8,4,4,0,8,4,36,16,4
2015,2,3,11,4,8,8,0,8,0,8,0,8,4,16,8,8,4,12,24,12,12
2015,2,3,12,0,0,0,0,28,0,12,4,4,0,12,8,0,4,0,36,16,4
2015,2,3,13,12,0,4,0,24,4,8,0,0,0,12,4,4,0,4,41,12,8
2015,2,3,14,4,0,4,0,24,0,16,8,4,4,8,4,4,0,4,41,16,12
2015,2,3,15,8,0,8,4,28,0,24,0,4,4,4,4,4,8,8,16,8,0
2015,2,3,16,0,8,4,0,16,0,16,20,0,12,12,28,4,0,8,61,16,0
2015,2,3,17,4,4,4,0,24,4,20,4,8,8,20,4,16,8,8,57,28,28
2015,2,3,18,4,0,16,0,24,0,24,0,4,4,12,0,12,20,8,45,61,12
2015,2,3,19,20,8,16,0,16,0,8,4,0,16,12,8,4,8,4,61,28,12
2015,2,3,20,4,4,0,0,4,4,4,4,0,0,12,4,16,0,4,28,24,12
2015,2,3,21,8,0,0,4,0,0,8,0,0,20,0,12,4,0,0,12,28,8
2015,2,3,22,4,16,8,0,4,0,8,0,0,12,16,4,4,0,0,12,32,4
2015,2,3,23,4,4,0,0,0,0,12,0,0,16,0,4,4,8,4,20,24,8
2015,2,3,24,8,12,0,0,4,0,4,0,8,0,8,0,0,4,0,4,8,12
2015,2,4,1,4,16,0,0,4,0,4,0,0,4,0,0,4,0,0,12,16,20
2015,2,4,2,4,0,0,0,0,0,0,4,0,12,16,0,0,0,0,24,16,4
2015,2,4,3,0,0,0,0,0,0,4,0,0,4,16,4,4,4,0,4,4,4
2015,2,4,4,0,4,4,0,8,0,8,0,0,0,12,0,4,8,4,4,0,0
2015,2,4,5,0,0,0,0,4,0,0,4,0,0,12,4,4,4,0,12,4,0
2015,2,4,6,4,0,8,0,12,0,8,0,4,4,4,0,8,4,0,8,12,0
2015,2,4,7,12,8,4,0,4,0,12,4,0,4,8,0,8,4,0,20,8,4
2015,2,4,8,12,8,4,0,8,4,12,4,0,12,16,0,4,0,4,20,24,8
2015,2,4,9,12,16,12,0,0,0,16,4,28,8,12,20,28,4,12,36,24,0
2015,2,4,10,4,12,12,0,4,0,41,0,16,4,0,24,8,12,12,28,20,16
