年,月,日,時,水戸石川一般環境大気測定局,独立行政法人国立環境研究所,旧笠間支所,宇都宮市中央生涯学習センター,栃木県林業センター,日光特別地域気象観測所,群馬県衛生環境研究所,群馬県林木育種場,さいたま市役所,飯能市役所,寄居町役場,東邦大学,千葉県環境研究センター,千葉県森林研究センター,君津市糠田測定局,東京都多摩小平保健所,独立行政法人森林総研多摩森林科学園,神奈川県庁分庁舎,川崎生命科学・環境研究センター,神奈川県自然環境保全センター
2016,2,1,1,0,0,0,0,4,12,4,0,,0,4,4,8,4,0,0,0,4,4,0
2016,2,1,2,0,8,4,4,0,16,0,0,,0,0,4,0,12,0,4,0,0,0,0
2016,2,1,3,0,4,0,4,0,0,16,12,,0,0,0,12,0,0,12,0,4,12,0
2016,2,1,4,0,8,0,8,0,0,8,0,,4,4,4,0,4,0,0,0,4,0,0
2016,2,1,5,0,4,0,8,0,0,0,0,,0,0,4,4,0,0,4,0,0,8,0
2016,2,1,6,0,4,0,0,0,0,0,0,,8,4,0,0,0,0,4,0,0,8,4
2016,2,1,7,12,4,4,4,0,0,4,0,,4,0,0,4,0,8,8,0,0,8,4
2016,2,1,8,45,4,8,8,0,0,0,0,,16,0,16,8,8,0,4,4,0,12,8
2016,2,1,9,20,8,0,8,0,0,8,0,,45,8,0,4,4,0,4,16,0,4,12
2016,2,1,10,8,4,8,32,4,4,8,0,8,4,12,16,41,12,4,4,32,0,8,0
2016,2,1,11,8,0,8,12,8,0,4,0,12,0,12,12,12,8,4,4,0,0,32,0
2016,2,1,12,4,0,8,16,8,0,4,0,24,4,20,0,16,24,0,12,0,0,28,0
2016,2,1,13,12,4,28,12,4,4,8,0,12,4,4,20,8,16,0,8,0,12,53,4
2016,2,1,14,20,4,16,4,8,4,12,4,32,0,4,8,20,20,4,0,0,0,49,0
2016,2,1,15,12,0,24,4,36,0,8,0,28,8,16,0,28,8,8,24,0,12,12,4
2016,2,1,16,0,0,16,12,20,0,4,8,41,8,12,0,8,4,4,8,4,8,20,0
2016,2,1,17,16,0,8,4,12,0,36,0,45,8,12,0,4,0,0,12,0,4,20,8
2016,2,1,18,12,0,16,20,24,0,32,4,53,12,8,0,12,12,0,4,0,0,4,0
2016,2,1,19,4,8,0,4,12,0,20,4,20,8,41,8,4,0,0,8,0,12,0,0
2016,2,1,20,12,12,0,8,16,0,0,,4,4,49,0,0,8,0,4,0,4,8,0
2016,2,1,21,0,4,0,8,4,0,4,4,4,4,12,0,8,0,0,0,0,4,4,0
2016,2,1,22,0,0,0,4,0,0,0,0,4,0,12,0,4,0,0,4,0,8,8,0
2016,2,1,23,8,4,4,4,0,0,0,0,0,0,12,4,4,4,4,8,0,0,4,12
2016,2,1,24,0,8,4,16,0,0,0,0,0,8,4,0,4,0,0,0,0,0,0,4
2016,2,2,1,4,0,4,4,0,4,4,0,8,4,0,0,8,4,0,0,4,0,8,4
2016,2,2,2,4,0,4,4,0,0,0,0,4,4,0,0,0,0,0,4,0,0,4,0
2016,2,2,3,4,4,0,12,0,0,0,0,0,0,0,4,0,0,4,4,0,0,8,4
2016,2,2,4,8,8,0,8,0,0,0,0,4,0,0,4,8,4,0,0,0,0,4,0
2016,2,2,5,4,4,0,8,0,0,4,4,12,0,0,8,4,0,0,0,0,0,8,0
2016,2,2,6,8,8,0,4,0,8,4,0,4,4,0,4,0,0,4,0,0,4,0,4
2016,2,2,7,20,4,4,0,4,24,0,0,0,12,4,12,0,0,4,0,4,0,20,4
2016,2,2,8,12,4,8,8,4,0,4,0,8,4,0,0,4,4,4,0,0,0,12,0
2016,2,2,9,20,4,12,4,0,4,12,0,8,4,0,24,4,16,12,12,12,0,8,4
2016,2,2,10,4,8,12,4,4,0,0,4,4,4,8,12,20,24,4,4,4,4,28,8
2016,2,2,11,4,20,8,0,8,0,4,8,4,0,4,8,24,16,0,4,8,12,24,0
2016,2,2,12,8,0,4,8,4,4,16,12,0,0,4,0,8,16,4,8,4,0,28,8
2016,2,2,13,4,8,4,4,4,0,32,,0,8,4,8,4,8,4,0,4,4,69,0
2016,2,2,14,20,4,8,0,8,4,12,4,0,16,0,0,16,12,8,4,0,8,57,8
2016,2,2,15,24,4,4,4,16,4,4,0,8,4,0,4,8,28,8,4,12,8,61,12
2016,2,2,16,4,0,16,4,4,4,16,,4,12,8,12,16,16,8,12,12,0,16,12
2016,2,2,17,28,8,12,16,8,12,16,4,4,16,12,0,4,49,28,8,0,4,57,0
2016,2,2,18,24,24,20,8,12,0,8,0,8,8,12,8,8,49,12,8,16,4,41,0
2016,2,2,19,45,16,8,12,8,0,12,,4,0,8,4,12,49,16,0,36,8,69,20
2016,2,2,20,12,8,36,16,16,0,4,,0,4,12,0,4,8,8,0,4,0,61,12
2016,2,2,21,4,20,0,16,8,0,12,0,8,0,4,4,8,12,8,4,8,0,69,16
2016,2,2,22,8,0,4,16,4,4,8,0,8,0,0,8,12,8,0,0,0,0,28,16
2016,2,2,23,4,0,8,8,0,0,0,0,0,4,0,0,0,8,0,0,4,0,12,12
2016,2,2,24,12,4,0,4,0,4,0,4,12,8,0,4,4,0,0,0,0,0,24,8
2016,2,3,1,4,0,0,4,8,0,4,4,4,4,4,0,0,8,0,8,16,0,24,4
2016,2,3,2,8,4,4,8,4,0,0,0,0,0,0,0,12,4,4,0,4,0,32,0
2016,2,3,3,4,8,0,4,0,0,4,0,0,0,8,0,8,0,4,0,0,0,41,0
2016,2,3,4,0,4,0,8,0,0,0,0,4,0,4,0,0,0,8,4,4,0,24,4
2016,2,3,5,0,12,4,4,0,0,0,0,0,0,0,0,4,0,0,8,0,0,16,0
2016,2,3,6,8,0,0,0,0,0,4,0,4,0,0,8,0,4,4,4,0,0,0,8
2016,2,3,7,0,0,4,0,0,8,4,4,0,0,0,8,0,0,0,0,8,0,4,0
2016,2,3,8,20,8,0,57,12,0,0,0,16,4,0,8,0,8,8,8,4,4,4,16
2016,2,3,9,8,0,0,20,28,0,0,0,8,4,4,0,0,16,4,8,24,4,20,8
2016,2,3,10,4,12,4,4,12,0,8,0,4,4,16,8,0,24,8,4,53,4,41,4
2016,2,3,11,4,4,4,0,4,0,0,0,8,12,0,4,0,12,0,16,12,0,73,4
2016,2,3,12,4,0,24,12,12,0,0,0,12,4,4,4,36,12,4,4,8,0,49,8
2016,2,3,13,4,8,12,12,12,0,4,0,4,8,0,4,20,0,8,8,12,4,32,24
2016,2,3,14,4,12,12,0,0,4,8,0,4,0,8,0,4,0,0,8,16,8,28,16
