年,月,日,時,水戸石川一般環境大気測定局,独立行政法人国立環境研究所,日立市消防本部,宇都宮市中央生涯学習センター,栃木県庁那須庁舎,日光特別地域気象観測所,群馬県衛生環境研究所,館林保健福祉事務所,さいたま市役所,飯能市役所,寄居町役場,東邦大学,千葉県環境研究センター,千葉県森林研究センター,君津市糠田測定局,東京都多摩小平保健所,独立行政法人森林総研多摩森林科学園,神奈川県庁第二分庁舎,川崎生命科学・環境研究センター,神奈川県環境科学センター
2017,2,1,1,12,24,4,0,16,4,0,16,0,0,0,12,8,28,8,0,8,4,0,8
2017,2,1,2,4,20,8,0,12,0,0,8,12,4,0,12,24,20,0,4,4,0,4,4
2017,2,1,3,4,16,12,4,4,0,12,0,4,0,0,0,32,20,12,12,8,0,4,0
2017,2,1,4,0,4,20,0,4,4,0,8,4,0,0,0,12,24,12,0,8,0,0,4
2017,2,1,5,0,8,16,0,0,0,0,8,8,8,0,0,32,24,20,4,12,0,0,0
2017,2,1,6,0,0,16,4,0,0,16,28,16,8,8,0,4,24,4,0,8,8,4,8
2017,2,1,7,0,0,12,0,8,0,0,20,28,20,0,8,12,32,12,0,4,8,4,4
2017,2,1,8,4,8,28,8,28,0,0,24,24,8,12,4,16,28,32,8,8,4,4,4
2017,2,1,9,4,16,8,36,41,0,4,4,24,16,16,12,16,32,8,12,24,16,8,20
2017,2,1,10,4,32,16,98,16,0,8,12,20,20,12,12,16,36,4,36,8,8,8,8
2017,2,1,11,4,12,20,32,24,0,8,12,49,8,8,4,28,24,16,20,12,8,4,20
2017,2,1,12,8,4,41,332,8,0,8,4,12,12,0,8,28,82,0,24,4,8,12,12
2017,2,1,13,4,12,12,36,12,4,28,8,61,24,4,4,16,16,4,28,20,16,0,8
2017,2,1,14,0,8,12,110,20,4,8,12,36,16,8,0,0,24,8,36,12,12,8,4
2017,2,1,15,4,20,16,147,8,0,16,20,45,16,4,8,8,28,0,24,12,4,12,16
2017,2,1,16,4,12,4,32,12,8,20,4,41,20,12,16,16,20,4,49,20,4,12,4
2017,2,1,17,8,28,16,20,0,0,12,24,61,8,16,16,28,20,36,61,8,12,28,16
2017,2,1,18,28,28,8,4,45,8,16,24,90,12,36,12,28,4,36,73,8,36,8,24
2017,2,1,19,36,32,16,20,20,20,8,20,77,0,20,8,24,36,16,86,0,8,12,36
2017,2,1,20,20,12,24,483,12,16,12,12,86,0,8,8,16,16,20,77,0,8,24,16
2017,2,1,21,4,16,4,151,0,20,0,0,41,41,0,8,20,4,8,45,8,8,12,32
2017,2,1,22,4,20,8,114,0,65,41,8,32,69,12,8,65,41,20,20,8,32,45,32
2017,2,1,23,0,32,4,4,0,106,8,4,16,32,0,4,36,86,12,4,12,16,57,28
2017,2,1,24,8,69,28,16,0,16,0,0,36,61,8,4,53,98,28,20,4,8,28,20
2017,2,2,1,0,122,8,0,0,102,8,0,28,4,12,8,49,180,20,8,4,20,49,24
2017,2,2,2,4,12,4,0,16,364,0,0,12,77,0,0,61,245,4,4,0,12,16,28
2017,2,2,3,12,20,8,4,16,647,0,0,0,20,12,0,45,557,4,16,4,28,12,24
2017,2,2,4,0,24,0,4,24,368,12,0,8,0,4,0,8,127,8,8,8,12,8,12
2017,2,2,5,0,12,0,0,16,221,8,0,12,4,28,0,20,389,4,8,0,4,0,12
2017,2,2,6,0,8,4,0,0,110,4,0,16,4,28,0,8,98,4,20,8,8,0,4
2017,2,2,7,0,16,0,8,12,28,0,8,32,0,12,12,16,61,4,12,8,12,,4
2017,2,2,8,4,8,4,4,8,24,4,0,28,0,8,0,24,53,0,12,16,24,16,0
2017,2,2,9,12,24,36,65,4,24,0,4,57,4,0,0,8,82,12,61,0,4,12,24
2017,2,2,10,20,122,32,73,8,16,4,0,61,4,8,24,65,258,0,20,20,12,57,16
2017,2,2,11,36,295,28,36,12,16,12,4,61,28,4,12,28,1574,0,77,16,12,24,8
2017,2,2,12,28,676,73,98,12,57,24,4,45,61,24,0,4,746,4,86,24,32,61,8
2017,2,2,13,24,701,32,102,8,53,24,4,102,20,16,4,32,778,16,69,20,8,28,4
2017,2,2,14,4,1094,41,106,28,86,53,8,41,98,8,16,45,1352,16,32,12,16,24,0
2017,2,2,15,20,578,86,159,12,122,8,4,106,41,32,16,73,1467,24,61,8,8,28,4
2017,2,2,16,4,377,65,69,4,49,12,4,41,8,0,0,65,664,12,28,24,8,12,24
2017,2,2,17,16,127,4,36,4,4,8,12,49,20,16,8,102,336,41,32,16,8,32,12
2017,2,2,18,8,12,12,16,4,8,8,8,16,0,4,4,90,102,65,16,4,69,45,32
2017,2,2,19,12,4,12,8,4,24,4,4,32,12,0,8,28,28,65,24,4,24,20,12
2017,2,2,20,12,12,12,4,12,73,0,0,28,12,8,4,12,41,45,36,4,12,0,4
2017,2,2,21,12,4,12,0,12,110,0,4,45,8,8,4,41,12,65,16,12,4,28,45
2017,2,2,22,4,8,12,12,4,98,4,4,45,8,4,8,24,4,4,24,12,24,12,45
2017,2,2,23,0,12,24,20,12,49,0,4,53,4,4,24,24,12,4,45,0,24,12,12
2017,2,2,24,12,16,4,20,4,221,4,16,73,4,0,8,8,4,12,57,12,16,20,4
2017,2,3,1,0,12,12,4,4,73,4,4,57,0,0,4,24,12,4,28,4,20,16,0
2017,2,3,2,4,16,0,16,16,53,0,4,49,4,4,8,20,24,4,24,0,8,28,4
2017,2,3,3,4,12,8,8,8,4,4,0,41,4,0,8,20,8,4,16,4,16,4,20
2017,2,3,4,4,8,0,4,4,135,8,4,20,0,4,0,41,36,12,4,0,16,16,8
2017,2,3,5,4,4,0,0,4,118,4,0,8,0,0,0,8,28,4,12,0,0,4,20
2017,2,3,6,0,45,4,0,8,90,0,0,41,4,0,4,8,12,8,12,0,4,4,12
2017,2,3,7,8,12,4,4,24,45,12,8,20,4,0,12,77,28,16,12,0,4,4,12
2017,2,3,8,20,20,24,188,20,8,0,16,12,8,4,12,12,32,16,20,4,8,12,16
2017,2,3,9,16,12,20,20,24,0,4,16,4,4,8,0,41,77,8,4,8,20,28,28
2017,2,3,10,24,73,0,20,8,0,4,16,24,20,8,0,8,114,8,36,4,4,20,12
2017,2,3,11,4,143,8,12,16,0,16,32,28,8,32,4,12,151,8,28,16,16,4,16
2017,2,3,12,4,135,16,0,16,0,32,28,57,16,20,4,12,336,16,16,12,36,20,8
2017,2,3,13,0,90,28,4,12,0,49,0,73,12,4,8,49,254,0,16,8,4,0,8
