年,月,日,時,水戸石川一般環境大気測定局,独立行政法人国立環境研究所,日立市消防本部,宇都宮市中央生涯学習センター,栃木県庁那須庁舎,日光市役所第４庁舎,群馬県衛生環境研究所,館林保健福祉事務所,さいたま市役所,飯能市役所,熊谷市保健センター,東邦大学,千葉県環境研究センター,印旛健康福祉センター成田支所,君津市糠田測定局,東京都多摩小平保健所,独立行政法人森林総研多摩森林科学園,神奈川県庁第二分庁舎,川崎生命科学・環境研究センター,神奈川県環境科学センター
2018,2,1,1,12,8,8,16,0,0,4,20,12,0,4,0,4,8,0,4,0,4,0,8
2018,2,1,2,0,20,8,4,0,0,0,8,8,0,12,0,12,4,0,12,0,12,8,4
2018,2,1,3,0,4,8,0,0,0,8,0,0,0,4,12,16,0,0,8,0,4,0,4
2018,2,1,4,0,4,4,0,0,0,0,0,0,0,12,4,0,8,0,8,0,0,0,12
2018,2,1,5,4,4,12,4,0,0,0,4,4,4,4,8,16,4,0,0,0,4,0,0
2018,2,1,6,4,16,0,0,0,0,4,8,0,4,16,8,4,4,0,8,0,4,0,20
2018,2,1,7,0,4,0,0,0,0,16,4,0,4,12,4,16,16,0,12,0,0,0,8
2018,2,1,8,8,0,0,12,0,8,12,0,0,8,12,4,8,8,0,4,0,8,8,8
2018,2,1,9,0,0,4,16,0,8,12,16,0,8,20,4,0,24,0,0,20,4,4,24
2018,2,1,10,8,4,0,4,4,0,0,16,12,4,8,0,16,24,4,8,4,8,16,24
2018,2,1,11,0,8,12,4,8,4,24,0,0,20,12,0,4,16,8,8,20,20,4,32
2018,2,1,12,0,4,0,16,4,4,41,8,0,0,4,0,8,16,4,8,12,8,4,4
2018,2,1,13,0,4,12,8,0,8,61,4,0,8,12,0,16,24,4,4,4,0,8,8
2018,2,1,14,0,4,12,20,8,4,41,24,4,8,20,0,8,24,0,0,4,4,0,4
2018,2,1,15,4,0,4,20,0,0,-9998,16,-9998,0,4,0,4,12,0,-9998,0,0,0,0
2018,2,1,16,0,8,4,20,0,8,4,4,0,0,0,0,0,12,0,-9998,-9998,0,0,4
2018,2,1,17,0,4,4,32,0,0,0,0,-9998,-9998,4,0,0,16,0,-9998,-9998,4,0,0
2018,2,1,18,0,4,0,32,4,12,-9998,0,-9998,0,-9998,0,4,4,-9998,-9998,-9998,0,,-9998
2018,2,1,19,0,0,0,20,4,8,-9998,-9998,-9998,-9998,-9998,0,0,0,-9998,0,-9998,-9998,,-9998
2018,2,1,20,4,0,0,8,0,8,-9998,-9998,-9998,-9998,-9998,-9998,-9998,0,-9998,-9998,0,-9998,,-9998
