年,月,日,時,水戸石川一般環境大気測定局,独立行政法人国立環境研究所,日立市消防本部,宇都宮市中央生涯学習センター,栃木県庁那須庁舎,日光市役所第４庁舎,群馬県衛生環境研究所,館林保健福祉事務所,さいたま市役所,飯能市役所,熊谷市保健センター,東邦大学,千葉県環境研究センター,印旛健康福祉センター成田支所,君津市糠田測定局,東京都多摩小平保健所,新宿区役所第二分庁舎,神奈川県庁第二分庁舎,川崎生命科学・環境研究センター,神奈川県環境科学センター
2019,2,1,1,0,-9998,0,0,4,0,0,0,4,4,0,-9998,-9998,-9998,-9998,0,4,0,4,0
2019,2,1,2,0,0,4,0,0,0,4,0,4,0,0,0,4,-9998,4,0,8,0,0,0
2019,2,1,3,0,0,8,0,0,4,8,4,0,4,0,0,0,0,0,0,20,0,0,8
2019,2,1,4,0,0,4,0,0,0,0,12,0,-9998,0,4,0,0,4,4,0,8,0,12
2019,2,1,5,4,8,8,0,4,0,0,0,8,0,8,8,0,12,4,4,12,4,0,8
2019,2,1,6,4,4,4,0,0,0,12,12,0,4,0,0,12,0,0,0,16,12,0,0
2019,2,1,7,4,8,8,0,4,4,0,8,0,12,8,0,4,8,0,0,8,12,0,8
2019,2,1,8,8,16,16,4,12,0,4,8,12,16,0,4,0,32,4,0,8,8,0,16
2019,2,1,9,4,16,8,4,20,4,28,4,0,12,0,0,4,36,4,8,24,8,0,4
2019,2,1,10,8,16,4,8,20,0,176,20,0,8,4,0,8,8,4,8,12,12,0,0
2019,2,1,11,4,28,16,16,8,0,114,16,0,4,12,0,0,24,4,0,8,16,0,0
2019,2,1,12,8,32,24,24,12,0,57,12,4,4,8,4,0,16,0,0,24,4,4,4
2019,2,1,13,8,4,16,0,4,4,41,12,0,4,4,0,8,24,0,4,0,4,0,12
2019,2,1,14,12,8,28,4,0,8,20,0,4,8,0,0,,12,4,0,16,0,4,12
2019,2,1,15,12,12,8,16,12,12,16,0,4,0,4,4,,36,8,0,16,12,0,12
2019,2,1,16,8,8,24,28,0,12,12,0,8,4,0,0,,16,4,0,12,4,8,24
2019,2,1,17,4,20,0,16,8,8,12,0,4,4,4,0,8,16,12,0,16,8,4,36
2019,2,1,18,4,4,0,28,4,4,8,0,0,4,4,0,4,8,12,4,24,16,4,16
2019,2,1,19,20,12,4,0,8,4,4,4,0,0,0,4,8,12,16,4,28,20,4,24
2019,2,1,20,16,4,4,12,0,0,0,0,0,0,0,4,0,4,12,0,0,8,0,8
2019,2,1,21,4,12,0,24,4,0,0,0,4,4,0,0,0,0,12,0,0,4,4,8
2019,2,1,22,8,4,12,4,0,20,0,4,0,4,0,0,0,8,4,8,4,8,0,20
2019,2,1,23,12,8,0,4,0,8,4,0,4,4,4,0,4,8,8,0,0,0,0,20
2019,2,1,24,4,4,0,12,0,8,0,0,4,0,4,0,0,4,4,12,0,4,0,20
2019,2,2,1,4,0,8,8,4,0,0,0,8,0,4,0,4,12,0,0,0,12,4,16
2019,2,2,2,4,0,24,0,4,4,4,4,0,4,4,0,4,12,0,0,12,0,8,8
2019,2,2,3,0,8,12,12,8,4,0,0,0,0,4,0,0,4,0,4,12,8,0,12
2019,2,2,4,4,8,4,8,4,4,4,0,0,4,0,0,4,4,0,0,16,4,0,12
2019,2,2,5,8,0,20,0,4,8,0,0,0,4,0,4,0,4,0,4,28,0,0,12
2019,2,2,6,0,12,16,4,16,0,0,0,12,0,8,0,4,8,4,0,0,8,0,4
2019,2,2,7,4,8,16,4,8,0,0,8,4,0,20,20,4,0,0,4,12,8,4,16
2019,2,2,8,4,16,8,8,12,0,4,12,0,0,8,0,147,4,4,4,20,8,0,12
2019,2,2,9,0,20,8,8,8,12,0,8,4,0,0,4,0,36,0,4,24,45,24,20
2019,2,2,10,0,4,16,8,0,0,0,16,12,0,4,0,12,20,12,16,12,32,4,28
2019,2,2,11,4,12,8,8,8,0,0,4,20,0,0,4,8,20,4,0,0,12,8,0
2019,2,2,12,4,0,4,24,0,4,8,4,4,4,8,0,0,32,12,0,8,0,8,0
2019,2,2,13,8,8,12,4,8,4,0,0,4,0,4,0,0,12,0,0,16,0,0,8
2019,2,2,14,0,0,16,12,0,0,8,0,8,0,0,0,4,8,0,0,8,8,8,4
2019,2,2,15,16,4,12,0,0,0,4,0,4,8,0,4,4,20,4,0,16,4,0,4
2019,2,2,16,12,4,8,16,0,0,16,0,4,4,0,8,0,8,0,0,16,4,4,0
2019,2,2,17,12,20,4,8,0,4,32,12,0,0,4,0,8,49,4,4,8,4,0,0
2019,2,2,18,20,16,4,4,4,8,12,16,4,4,8,0,4,53,12,0,28,0,8,4
2019,2,2,19,8,12,0,24,0,4,12,8,0,4,0,4,4,32,4,0,20,8,0,24
2019,2,2,20,4,12,4,20,4,0,0,16,16,0,8,0,0,36,8,8,16,4,4,4
2019,2,2,21,4,20,0,8,0,4,4,12,16,4,0,0,0,20,4,16,0,4,0,8
2019,2,2,22,8,16,8,8,0,8,0,0,16,0,0,0,8,20,4,8,8,4,4,8
2019,2,2,23,8,8,8,0,0,0,0,0,4,0,0,4,4,12,0,8,0,4,0,4
2019,2,2,24,8,0,4,4,0,0,4,8,4,8,4,4,8,16,0,8,12,4,0,8
2019,2,3,1,0,4,16,4,4,0,0,4,0,0,0,0,4,8,0,0,12,8,0,4
2019,2,3,2,4,0,4,4,8,4,4,4,0,4,8,0,0,4,0,0,20,0,0,0
2019,2,3,3,0,4,8,0,0,4,0,0,0,0,0,4,0,12,0,0,16,4,0,8
2019,2,3,4,0,4,8,0,0,0,0,4,8,0,0,0,0,0,0,4,4,12,4,8
2019,2,3,5,0,0,4,0,0,0,4,12,0,0,4,0,0,4,0,0,12,8,0,4
2019,2,3,6,0,12,0,0,0,0,12,0,0,0,4,0,8,12,0,4,4,0,0,0
2019,2,3,7,4,8,4,4,0,0,0,0,8,0,4,0,8,4,4,4,0,4,0,0
2019,2,3,8,8,4,8,0,4,0,4,0,8,0,16,0,8,12,0,4,4,0,0,4
2019,2,3,9,8,12,0,4,8,0,41,4,4,4,8,0,8,12,0,0,4,4,0,0
2019,2,3,10,12,12,0,12,8,0,4,8,4,0,4,0,12,8,12,8,28,8,0,4
